listing_class,cost,name,address,beds,baths,sqft,neighborhood,zipcode,property_link
3,"$2,595 ","Apartment for Rent, Chicago, IL",1445 W Chicago Ave,3 Beds,2 ba,"1,200 sq ft",West Town,"1445 W Chicago Ave Chicago, IL 60642",https://www.apartments.com/1445-w-chicago-ave-chicago-il-unit-4e/9s67te4/
3,"$3,500 /mo","1857 W Dickens Ave, Chicago, IL",1857 W Dickens Ave,"3 Beds, 2 Baths",2 ba,,Bucktown,"1857 W Dickens Ave Chicago, IL 60614",https://www.apartments.com/1857-w-dickens-ave-chicago-il/yte3l6t/
3,"$2,895 ","4 bedroom in Chicago IL 60622 Unit 3, Chicago, IL",1635 N Ashland Ave,4 Beds,2 ba,,Bucktown,"1635 N Ashland Ave Chicago, IL 60622",https://www.apartments.com/4-bedroom-in-chicago-il-60622-chicago-il-unit-3/ylbq88r/
3,"$1,800 ","Condo for Rent, Chicago, IL",3509 W Wrightwood Ave,2 Beds,1 ba,"1,200 sq ft",Logan Square,"3509 W Wrightwood Ave Chicago, IL 60647",https://www.apartments.com/3509-w-wrightwood-ave-chicago-il-unit-2/k2j4rmb/
3,"$1,950 /mo","2348 W Moffat St, Chicago, IL",2348 W Moffat St,"1 Bed, 1 Bath",1 ba,,Bucktown,"2348 W Moffat St Chicago, IL 60647",https://www.apartments.com/2348-w-moffat-st-chicago-il/22egn8b/
3,"$3,521 ","3 bedroom in Chicago IL 60657 Unit 2D, Chicago, IL",1870 N Winnebago Ave,3 Beds,3 ba,,Bucktown,"1870 N Winnebago Ave Chicago, IL 60647",https://www.apartments.com/3-bedroom-in-chicago-il-60657-chicago-il-unit-2d/t2fl9l8/
3,"$3,420 /mo","1851 W Dickens Ave, Chicago, IL",1851 W Dickens Ave,"3 Beds, 2 Baths",2 ba,,Bucktown,"1851 W Dickens Ave Chicago, IL 60614",https://www.apartments.com/1851-w-dickens-ave-chicago-il/g4wj7cw/
3,"$1,950 ","0 bedroom in Chicago IL 60647 Unit 2047-2RS, Chicago, IL",2049 N Hoyne Ave,Studio,1 ba,,Bucktown,"2049 N Hoyne Ave Chicago, IL 60647",https://www.apartments.com/0-bedroom-in-chicago-il-60647-chicago-il-unit-2047-2rs/ymx65kr/
3,"$2,750 /mo","2139 N Oakley Ave, Chicago, IL",2139 N Oakley Ave,"2 Beds, 1.5 Baths",1.5 ba,,Bucktown,"2139 N Oakley Ave Chicago, IL 60647",https://www.apartments.com/2139-n-oakley-ave-chicago-il/hy4swm3/
3,"$2,700 /mo","2045 N Wolcott Ave, Chicago, IL",2045 N Wolcott Ave,"2 Beds, 2 Baths",2 ba,,Bucktown,"2045 N Wolcott Ave Chicago, IL 60614",https://www.apartments.com/2045-n-wolcott-ave-chicago-il/h5zk5p2/
3,"$2,300 ","2 bed/1 bath Loft on a tree lined street i... Unit A102, Chicago, IL",1707 N Paulina St,2 Beds,1 ba,,Bucktown,"1707 N Paulina St Chicago, IL 60622",https://www.apartments.com/2-bed-1-bath-loft-on-a-tree-lined-street-i-chicago-il-unit-a102/wy5fe9l/
3,"$2,300 ","2 bed/1 bath Loft on a tree lined street i... Unit 102A, Chicago, IL",1707 N Paulina St,2 Beds,1 ba,,Bucktown,"1707 N Paulina St Chicago, IL 60622",https://www.apartments.com/2-bed-1-bath-loft-on-a-tree-lined-street-i-chicago-il-unit-102a/g9v20qw/
3,"$2,800 ","Beautiful 2 Bedroom Condo in Bucktown! Unit AE102, Chicago, IL",1707 N Paulina St,2 Beds,1 ba,,Bucktown,"1707 N Paulina St Chicago, IL 60622",https://www.apartments.com/beautiful-2-bedroom-condo-in-bucktown-chicago-il-unit-ae102/q1pxhrx/
3,"$2,800 ","Beautiful 2 Bedroom Condo in Bucktown! Unit A102E, Chicago, IL",1707 N Paulina St,2 Beds,1 ba,,Bucktown,"1707 N Paulina St Chicago, IL 60622",https://www.apartments.com/beautiful-2-bedroom-condo-in-bucktown-chicago-il-unit-a102e/tt32v9c/
3,"$1,995 /mo","2049 N Hoyne Ave, Chicago, IL",2049 N Hoyne Ave,"1 Bed, 1 Bath",1 ba,,Bucktown,"2049 N Hoyne Ave Chicago, IL 60647",https://www.apartments.com/2049-n-hoyne-ave-chicago-il/9clw9v7/
3,"$2,700 ","2012 W St Paul Ave Unit X102, Chicago, IL",2012 W St Paul Ave,1 Bed,2 ba,,Bucktown,"2012 W St Paul Ave Chicago, IL 60647",https://www.apartments.com/2012-w-st-paul-ave-chicago-il-unit-x102/hftcfm3/
3,"$2,800 ","2 bed/1 bath Loft on a tree lined street i... Unit 102AE, Chicago, IL",1707 N Paulina St,2 Beds,1 ba,,Bucktown,"1707 N Paulina St Chicago, IL 60622",https://www.apartments.com/2-bed-1-bath-loft-on-a-tree-lined-street-i-chicago-il-unit-102ae/ltze4yg/
3,"$1,995 ","1 bedroom in Chicago IL 60622 Unit GR, Chicago, IL",2134 W Iowa St,1 Bed,1 ba,,Ukrainian Village,"2134 W Iowa St Chicago, IL 60622",https://www.apartments.com/1-bedroom-in-chicago-il-60622-chicago-il-unit-gr/xbzy4dq/
3,"$2,400 ","1922 N Wilmot Ave Unit R3, Chicago, IL",1922 N Wilmot Ave,2 Beds,1 ba,900 sq ft,Bucktown,"1922 N Wilmot Ave Chicago, IL 60647",https://www.apartments.com/1922-n-wilmot-ave-chicago-il-unit-r3/fvbt5xv/
3,"$2,395 ","2 bedroom in Chicago IL 60622 Unit 2F, Chicago, IL",2134 W Iowa St,2 Beds,1 ba,,Ukrainian Village,"2134 W Iowa St Chicago, IL 60622",https://www.apartments.com/2-bedroom-in-chicago-il-60622-chicago-il-unit-2f/v7ksy5g/
3,"$2,200 /mo","2134 W Iowa St, Chicago, IL",2134 W Iowa St,"2 Beds, 1 Bath",1 ba,,Ukrainian Village,"2134 W Iowa St Chicago, IL 60622",https://www.apartments.com/2134-w-iowa-st-chicago-il/2xtkzvb/
